keys,en
ui.title,Double Crossed
ui.start,Press any key to start
ui.choose_reward,Choose your reward
ui.kingdom_loyalty,Kingdom Loyalty
ui.foreign_relations,Foreign Loyalty
ui.declare_war,Declare war
ui.preparing_game,Preparing game
group.peasants,Peasants
group.nobility,Nobility
faction.english,English
faction.hre,HRE
faction.franks,Franks
faction.rebels,Rebels
relation.treacherous,Treacherous
relation.disloyal,Disloyal
relation.defiant,Defiant
relation.discontent,Discontent
relation.uneasy,Uneasy
relation.neutral,Neutral
relation.at_ease,At Ease
relation.content,Content
relation.obedient,Obedient
relation.loyal,Loyal
relation.devoted,Devoted
card.militia,Militia
card.archer,Archer
card.crossbow,Crossbow
card.mantlet,Mantlet
card.stakes,Stakes
card.horse_archer,Horse Archer
card.light_cavalry,Light Cavalry
card.axeman,Axeman
card.swordman,Swordsman
card.spearman,Spearman
card.foot_knight,Foot Knight
card.lancer,Lancer
card.heavy_cav,Heavy Cav
card.knight,Knight
city.paris,Paris
city.reims,Reims
city.rouen,Rouen
city.orleans,Orleans
city.tours,Tours
city.winchester,Winchester
city.york,York
city.lincoln,Lincoln
city.norwich,Norwich
city.london,London
city.trier,Trier
city.aachen,Aachen
city.cologne,Cologne
city.mainz,Mainz
city.regensburg,Regensburg
reward.add,Add %s to deck.
reward.upgrade,Upgrade %s from deck to %s.
tooltip.declare_war,Declare war on the %s
tooltip.strength,Strength: %s
tooltip.attack,%s attack
tooltip.block,Blocks 1 %s attack
tooltip.block_non_armor_piercing,Blocks 1 non-armor-piercing attack
attack.charge,Charge
turn.choose_card,Choose a card
turn.discard_or_replace,Discard or replace a card
turn.play_card,Play a card
battle.start,Battle
battle.defend,Choose a card to defend against %s
battle.kill,Choose a card for %s to kill
battle.draw,Draw
battle.win,%s win
battle.restart,%s\nPress any key to restart the level
tutorial.reward.won,"General, you won!"
tutorial.reward.offers,The Nobility and Peasants are offering rewards.
tutorial.reward.loyalty,Selecting a reward will improve faction loyalty.
tutorial.reward.better,This will yield even better rewards!
tutorial.reward.other,But the other faction will not like it...
tutorial.reward.levies,"General, we can raise levies from the %s."
tutorial.reward.allies,Or accept weaker but loyal allied contingents.
tutorial.reward.choice,The choice is yours.
tutorial.act1_boss,"General, the %s are trying to take Paris!"
tutorial.act1_treason,"It's treason, then..."
tutorial.act1_defeat,Defeat these traitorous toads!
tutorial.act2_boss,"General, the %s has double-crossed us!"
tutorial.act2_invaded,They invaded Paris while we fought the %s...
tutorial.act2_destroy,Destroy these backstabbing rats!
tutorial.battle.ways,"General, there are several ways to win battles."
tutorial.battle.meter,Move the balance of power all the way to the right.
tutorial.battle.cards_run_out,Or have it on the right when all cards run out.
tutorial.battle.kill_all,Or... just kill them all!
tutorial.battle.line_full,Nothing will move until one battle line is full.
tutorial.battle.secret,Our opponent played a card in secret.
tutorial.battle.deploy_militia,Let's deploy a militia by dragging it to our battle line.
tutorial.battle.equal_strength,Our militia and their light cavalry have equal strength.
tutorial.battle.charge,But the light cavalry have a charge attack.
tutorial.battle.kill_militia,It will kill the militia once the battle starts.
tutorial.battle.deploy_stakes,Let's deploy stakes.
tutorial.battle.block_charge,Stakes will block the light cavalry charge attack.
tutorial.battle.enemy_stronger,Our opponent now has higher strength.
tutorial.battle.plan,But I have a plan.
tutorial.battle.hover_face_down,Hover the opponent's face-down card.
tutorial.battle.no_missile_block,They do not have a card that blocks missile attacks!
tutorial.battle.deploy_archer,Deploy an archer. This will fill the battle line and start the battle.
tutorial.battle.discard,You can discard instead of replacing by dragging to the discard pile.
tutorial.battle.turn,You must play or discard a card each turn.
tutorial.battle.good_luck,I trust you to win the battle now.\nGood luck!
tutorial.battle.replace_stakes,We do not need the stakes anymore. Let's replace them.
tutorial.battle.enemy_favor,"The balance of power moved in the enemy's favor, so let's weaken them."
tutorial.battle.kill_cavalry,Kill the light cavalry by clicking it!
intro.opening.millennium,"1,000 AD — a new millennium begins."
intro.opening.king,King Robert the Pious is troubled...
intro.opening.rebels,Rebels in Paris? Sacrebleu!
intro.opening.general,"General, defeat them — and all the others..."
intro.opening.map,Paint the map of Europe blue.
intro.opening.franks,Viva la Franks!
intro.act2.secured,"General, we have secured our kingdom."
intro.act2.expand,It's time to expand.
intro.act2.war,England and the Holy Roman Empire are at war.
intro.act2.ally,We should ally with one against the other.
intro.act2.carefully,Choose carefully.
intro.ending.victorious,"General, we are victorious."
intro.ending.shame,It's a shame that we can...
intro.ending.trust,Trust no one.
intro.ending.life,C'est la vie.
intro.ending.general,A Frank general conquering Europe...
intro.ending.never,This will probably never happen again.
intro.ending.thanks,Thanks for playing!\nPress any key to restart the game.
loyalty.refuses,refuses to fight in the battle!
loyalty.deserted,has deserted your army!
loyalty.betrayed,has betrayed you and fights for our enemies!
loyalty.cowardly,Cowardly dogs!
loyalty.insolent,Insolent pigs!
loyalty.treacherous,Treacherous snakes!
